Filter,FP,FN,VP,VN,precision,rappel,f1_score,shape_count,mean_area,area_var,area_std_dev,mean_perimeter
Threshold_1,27279,30174,55997,911344,0.6724266295211105,0.649835791623632,0.6609382284726198,0,0.0,0.0,0.0,0.0
OpenClose_1,16487,32938,53233,922136,0.7635255306942054,0.6177600352786901,0.6829515494800855,0,0.0,0.0,0.0,0.0
TopHat_1,7310,43962,42209,931313,0.8523798945859166,0.4898283645309907,0.6221386985039428,0,0.0,0.0,0.0,0.0
FiltreAlternesSeq_1,936575,207,85964,2048,0.08406916508807977,0.997597799723805,0.15507030693328283,0,0.0,0.0,0.0,0.0
Contours_Threshold_80_1,22942,29954,56217,915681,0.7101782488409404,0.652388854719105,0.6800580656868083,94,758.7978723404256,586301.5868039838,765.7033281917899,165.67363426025878
Contours_OpenClose_80_1,15859,33069,53102,922764,0.7700294369281188,0.6162398022536584,0.6846040791068252,88,729.2159090909091,598673.6636105372,773.7400491189126,127.79362482103434
Contours_TopHat_80_1,5493,43758,42413,933130,0.8853379534922556,0.4921957503104293,0.6326663036911625,66,641.3636363636364,278729.6707988981,527.9485493861102,172.79799103195018
Verite_terrain_0_1,1446,2177,83994,937177,0.9830758426966292,0.9747362801870699,0.978888299701068,68,1202.8676470588234,871368.3354238754,933.4711219014091,146.40539072191015
Threshold_2,15790,41859,68828,850923,0.8133966768299888,0.6218255079638982,0.7048257853101559,0,0.0,0.0,0.0,0.0
OpenClose_2,3821,59006,51681,862892,0.931155634031206,0.4669112000505931,0.6219545216590749,0,0.0,0.0,0.0,0.0
TopHat_2,8204,51300,59387,858509,0.8786228935805063,0.536530938592608,0.6662291477355591,0,0.0,0.0,0.0,0.0
FiltreAlternesSeq_2,832594,0,110687,34119,0.11734255221932807,1.0,0.21003863494906866,0,0.0,0.0,0.0,0.0
Contours_Threshold_80_2,9914,42666,68021,856799,0.8727914287547315,0.614534678869244,0.7212414246482383,70,1001.8928571428571,1667113.6920918368,1291.1675693308894,225.96491498776845
Contours_OpenClose_80_2,3243,59148,51539,863470,0.9408017231937498,0.46562830323344206,0.6229444790262829,49,1047.642857142857,1766508.6428571432,1329.100689510446,161.78543424849607
Contours_TopHat_80_2,2240,52449,58238,864473,0.9629617381527167,0.5261503157552377,0.6804895860719188,52,1017.8653846153846,1802988.2895710056,1342.753994434947,300.1873481342426
Verite_terrain_0_2,3141,3768,106919,863572,0.9714610212611303,0.9659580619223577,0.968701726410778,48,2208.8125,3774048.46484375,1942.6910368979804,222.3465557048718
Threshold_3,61124,79785,75467,820568,0.5525034592323067,0.4860935768943395,0.5171753305715745,0,0.0,0.0,0.0,0.0
OpenClose_3,42652,89992,65260,839040,0.6047520201645785,0.42034885218869966,0.4959644936237479,0,0.0,0.0,0.0,0.0
TopHat_3,31891,76350,78902,849801,0.7121569052196438,0.5082188957308118,0.5931477757522223,0,0.0,0.0,0.0,0.0
FiltreAlternesSeq_3,853622,11,155241,28070,0.1538771864960852,0.9999291474505965,0.26671076311189185,0,0.0,0.0,0.0,0.0
Contours_Threshold_80_3,54472,82615,72637,827220,0.5714544210087406,0.4678651482750625,0.5144973987200782,136,856.0808823529412,2234658.9346345155,1494.8775650983982,194.44603697955608
Contours_OpenClose_80_3,40777,91569,63683,840915,0.609640053609037,0.4101911730605725,0.490412456875308,108,904.0324074074074,1411602.7651534637,1188.108902901356,160.87203547689649
Contours_TopHat_80_3,27979,78440,76812,853713,0.7330018799324369,0.4947569113441373,0.5907638352118688,107,870.8785046728972,1569980.5973884182,1252.9886661053315,233.30007162272372
Verite_terrain_0_3,4564,7539,147713,877128,0.9700283036834191,0.9514402390951485,0.9606443619951289,74,1997.5608108108108,2957163.411842586,1719.6404891263132,231.23741150063438
Threshold_4,12936,37861,57871,819232,0.8173061985396924,0.6045105085029039,0.694984358018242,0,0.0,0.0,0.0,0.0
OpenClose_4,4540,46268,49464,827628,0.915932153173839,0.5166924330422429,0.6606828017310467,0,0.0,0.0,0.0,0.0
TopHat_4,5575,43365,52367,826593,0.9037830934382659,0.5470166715413863,0.6815336361388393,0,0.0,0.0,0.0,0.0
FiltreAlternesSeq_4,785030,189,95543,47138,0.10850094200026573,0.9980257385200351,0.19572367241794314,0,0.0,0.0,0.0,0.0
Contours_Threshold_80_4,10228,38407,57325,821940,0.8485929566414518,0.598807086449672,0.7021465535719753,70,871.1785714285714,633566.3359693877,795.9688033895472,187.52923207623618
Contours_OpenClose_80_4,4302,46631,49101,827866,0.9194427279366327,0.512900597501358,0.6584772186274181,56,889.7232142857143,770746.3028539541,877.9215812667748,137.4348070536341
Contours_TopHat_80_4,2741,44342,51390,829427,0.9493635809425283,0.5368110976475996,0.6858263881011325,51,941.2352941176471,715731.993656286,846.0094524627287,242.38840521316902
Verite_terrain_0_4,1480,2736,92996,830688,0.9843346458359795,0.9714202147662224,0.9778347913862719,56,1633.9285714285713,1158358.8520408163,1076.2708079478957,173.6850090622902
Threshold_5,28009,44135,43047,520401,0.6058179464084665,0.4937601798536395,0.5440791718803321,0,0.0,0.0,0.0,0.0
OpenClose_5,16988,53325,33857,531422,0.6658865178483627,0.38834851230758644,0.4905851753642404,0,0.0,0.0,0.0,0.0
TopHat_5,9480,48637,38545,538930,0.8026028110359188,0.44212108003945766,0.570162787429645,0,0.0,0.0,0.0,0.0
FiltreAlternesSeq_5,538719,0,87182,9691,0.13929039896085801,1.0,0.24452132500704685,0,0.0,0.0,0.0,0.0
Contours_Threshold_80_5,24192,44960,42222,524218,0.63573945252507,0.4842972173155009,0.5497799421859945,105,568.1571428571428,397299.0062585035,630.3165920856784,132.6457685129983
