Filter,FP,FN,VP,VN,precision,rappel,f1_score,shape_count,mean_area,area_var,area_std_dev,mean_perimeter
Threshold_1,27279,30174,55997,911344,0.6724266295211105,0.649835791623632,0.6609382284726198,0,0.0,0.0,0.0,0.0
OpenClose_1,13623,36991,49180,925000,0.7830836106555419,0.570725650160727,0.66024943949951,0,0.0,0.0,0.0,0.0
TopHat_1,7310,43962,42209,931313,0.8523798945859166,0.4898283645309907,0.6221386985039428,0,0.0,0.0,0.0,0.0
Contours_Threshold_90_1,22475,29954,56217,916148,0.714392822650333,0.652388854719105,0.6819844355616482,90,788.7333333333333,591299.9344444444,768.9602944524797,170.2779218316078
Contours_OpenClose_90_1,12940,36983,49188,925683,0.791720319340716,0.5708184888187441,0.6633625311027046,79,723.0632911392405,547489.723842333,739.9254853310115,124.70249275919757
Contours_TopHat_90_1,5478,43977,42194,933145,0.8850897801644572,0.48965429204720845,0.6304999140784351,64,658.7578125,277455.34368896484,526.7403000425968,176.18525353260338
Verite_terrain_0_1,1446,2177,83994,937177,0.9830758426966292,0.9747362801870699,0.978888299701068,68,1202.8676470588234,871368.3354238754,933.4711219014091,146.40539072191015
Threshold_2,15790,41859,68828,850923,0.8133966768299888,0.6218255079638982,0.7048257853101559,0,0.0,0.0,0.0,0.0
OpenClose_2,2695,64884,45803,864018,0.9444306981731205,0.41380649940824127,0.5754687941703049,0,0.0,0.0,0.0,0.0
TopHat_2,8204,51300,59387,858509,0.8786228935805063,0.536530938592608,0.6662291477355591,0,0.0,0.0,0.0,0.0
Contours_Threshold_90_2,9688,42786,67901,857025,0.8751369395146219,0.6134505407139049,0.7212921455735196,67,1043.0597014925372,1702217.3322566275,1304.6905120589433,233.09156549688595
Contours_OpenClose_90_2,2570,64934,45753,864143,0.9468162158806366,0.41335477517685004,0.575473240676687,46,974.2608695652174,1618848.2036862008,1272.3396573581288,153.3228490508121
Contours_TopHat_90_2,2240,52449,58238,864473,0.9629617381527167,0.5261503157552377,0.6804895860719188,52,1017.8653846153846,1802988.2895710056,1342.753994434947,300.1873481342426
Verite_terrain_0_2,3141,3768,106919,863572,0.9714610212611303,0.9659580619223577,0.968701726410778,48,2208.8125,3774048.46484375,1942.6910368979804,222.3465557048718
Threshold_3,61124,79785,75467,820568,0.5525034592323067,0.4860935768943395,0.5171753305715745,0,0.0,0.0,0.0,0.0
OpenClose_3,37556,96258,58994,844136,0.6110201967892284,0.37998866359209543,0.4685745148966251,0,0.0,0.0,0.0,0.0
TopHat_3,31891,76350,78902,849801,0.7121569052196438,0.5082188957308118,0.5931477757522223,0,0.0,0.0,0.0,0.0
Contours_Threshold_90_3,53775,83055,72197,827917,0.5731194233639222,0.46503104629892045,0.5134483543367564,126,917.218253968254,2361178.5059366333,1536.612672711192,205.2002582237834
Contours_OpenClose_90_3,36209,97778,57474,845483,0.613494444029333,0.37019812949269576,0.4617590937393295,100,865.115,1260058.7342750002,1122.5233780527692,151.64708375692368
Contours_TopHat_90_3,27979,78544,76708,853713,0.732736633966013,0.49408703269523097,0.5902000084635242,106,878.3254716981132,1578857.8020870415,1256.5260849210579,235.0712388180337
Verite_terrain_0_3,4564,7539,147713,877128,0.9700283036834191,0.9514402390951485,0.9606443619951289,74,1997.5608108108108,2957163.411842586,1719.6404891263132,231.23741150063438
Threshold_4,12936,37861,57871,819232,0.8173061985396924,0.6045105085029039,0.694984358018242,0,0.0,0.0,0.0,0.0
OpenClose_4,2998,51328,44404,829170,0.9367537234715835,0.46383654368445243,0.6204535609987843,0,0.0,0.0,0.0,0.0
TopHat_4,5575,43365,52367,826593,0.9037830934382659,0.5470166715413863,0.6815336361388393,0,0.0,0.0,0.0,0.0
Contours_Threshold_90_4,10104,38521,57211,822064,0.8498997251726955,0.5976162620649312,0.7017731083675258,68,894.1985294117648,633653.4642625431,796.0235324803804,191.3011427030844
Contours_OpenClose_90_4,2822,51882,43850,829346,0.939535481659239,0.4580495550077299,0.6158534872615938,47,919.0,553336.2872340425,743.8657723232348,146.2477658073953
Contours_TopHat_90_4,2741,44490,51242,829427,0.9492247559416853,0.5352651151130239,0.6845272684767725,50,958.35,715108.0625,845.640622546008,244.93994967699052
Verite_terrain_0_4,1480,2736,92996,830688,0.9843346458359795,0.9714202147662224,0.9778347913862719,56,1633.9285714285713,1158358.8520408163,1076.2708079478957,173.6850090622902
Threshold_5,28009,44135,43047,520401,0.6058179464084665,0.4937601798536395,0.5440791718803321,0,0.0,0.0,0.0,0.0
OpenClose_5,15465,56390,30792,532945,0.665672222582528,0.35319217269619874,0.46151424995690904,0,0.0,0.0,0.0,0.0
